node   1  (   0,    0) (   9,    3) (  29,    4) (  44,    6) (  65,   25) (  81,   63) (  81,   85) (  81,   93) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  71,   81) (  65,   71) (  90,   69) (  53,   67) (  74,   77) (  72,   71) (  82,   75) (  66,   69) (  77,   68)
          (  77,   79) (  74,   72) (  61,   65) (  79,   69) (  74,   74) (  73,   68) (  71,   79) (  73,   73) (  60,   71) (  76,   74)
          (  57,   73) (  91,   63) (  64,   80) (  76,   68) (  85,   67) (  72,   79) (  63,   71) (  77,   74) (  73,   70) (  70,   73)
          (  62,   73) (  78,   70) (  74,   72) (  65,   81) (  77,   75) (  49,   80) (  84,   66) (  72,   64) (  64,   78) (  79,   80)
          (  74,   76) (  62,   70) (  67,   63) (  67,   74) (  71,   75) (  79,   79) (  60,   81) (  87,   67) (  61,   71) (  80,   75)
          (  76,   71) (  72,   71) (  59,   60) (  73,   64) (  60,   53) (  60,   61) (  62,   51) (  62,   56) (  66,   55) (  60,   48)
          (  90,   63) (  51,   54) (  80,   57) (  63,   60) (  74,   57) (  61,   62) (  61,   57) (  70,   56) (  68,   63) (  66,   54)
          (  67,   63) (  69,   58) (  55,   58) (  63,   54) (  52,   52) (  58,   60) (  58,   58) (  63,   56) (  45,   50) (  55,   52)
          (  59,   58) (  67,   52) (  66,   57) (  60,   63) (  57,   57) (  51,   55) (  49,   62) (  65,   55) (  46,   58) (  64,   54)
          (  62,   56) (  51,   55) (  51,   48) (  57,   59) (  56,   60) (  62,   61) (  55,   54) (  56,   52) (  47,   55) (  69,   51)
          (  54,   67) (  64,   52) (  58,   58) (  54,   54) (  62,   63) (  57,   58) (  59,   55) (  48,   60) (  71,   62) (  57,   60)
          (  51,   60) (  65,   56) (  53,   54) (  62,   57) (  41,   54) (  58,   54) (  61,   57) (  54,   54) (  56,   53) (  63,   59)
          (  53,   62) (  63,   58) (  48,   55) (  62,   50) (  61,   55) (  61,   62) (  41,   56) (  56,   52) (  52,   54) (  74,   59)
          (  57,   60) (  57,   58) (  52,   62) (  57,   53) (  58,   51) (  67,   58) (  48,   58) (  67,   57) (  55,   52) (  51,   63)
          (  51,   57) (  59,   57) (  64,   62) (  65,   59) (  43,   57) (  64,   57) (  65,   54) (  53,   49) (  49,   51) (  65,   63)
          (  49,   59) (  57,   58) (  52,   51) (  70,   62) (  65,   59) (  45,   53) (  75,   55) (  54,   49) (  50,   58) (  46,   49)
          (  56,   60) (  58,   59) (  60,   57) (  55,   54) (  51,   52) (  34,   52) (  81,   54) (  60,   58) (  54,   55) (  49,   52)
          (  56,   59) (  60,   59) (  64,   57) (  44,   59) (  66,   60) (  55,   54) (  54,   54) (  58,   57) (  52,   58) (  55,   58)
          (  64,   53) (  48,   54) (  63,   62) (  52,   59) (  55,   58) (  63,   60) (  57,   55) (  50,   58) (  62,   56) (  46,   55)
          (  57,   58) (  51,   61) (  57,   52) (  66,   58) (  45,   61) (  66,   58) (  62,   57) (  60,   58) (  54,   61) (  60,   57)
